,name,description,url,screen_name
54,Meshify,"The connected-device app engine. Connected-devices need world-class web and mobile apps for managing, controlling, and monitoring the real world!",http://t.co/j5gC5NzLHg,Meshify
55,Verdigris,Advanced Energy Metering and Analytics,http://t.co/O1TvhXInz2,VerdigrisTech
56,Dash Labs,Be sure to follow our official handle @Dashmobile. Dash makes any car a 'smart car'.,http://t.co/E2lnzGzct6,dash_labs
57,Wellntel,Helping homeowners and farmers learn about and care for their groundwater. Sharing stories here and on https://t.co/OxJR79jIud,http://t.co/0vaFD7tBVC,Wellntel
58,Automatic ,"Automatic is a Smart Driving Assistant that can save you money on gas, remember where you parked & call for aid in a crash. _x000D_
Need help? tweet @AutomaticHelp",http://t.co/xPu6sBow2i,automatic
59,SmartThings,SmartThings is the easiest way to turn your home into a smart home.,http://t.co/yCgwi9AkOu,smartthings
61,WaterSmart,Changing the way the world uses #water.,http://t.co/yWWoRYSVGT,GetWaterSmart
62,Obvius,Obvius is a leading energy solutions provider offering energy monitoring technologies used to display and manage energy usage and renewable energy generation.,http://t.co/7Cf3OcqUDE,Obvius_Energy
63,Radiator Labs,NYC hardware startup bringing steam heat into the 21st century.,http://t.co/2W9chJCwDd,RadiatorLabs
64,Aquicore,"Aquicore is the gateway to data driven facility management operation, allowing you to measure, compare, and act on your facilities energy consumption.",http://t.co/zZCqBjRGdd,Aquicore
65,revolv,A @Nest Company,http://t.co/VUsJNXseEk,revolv
66,Buildingeye,Visualising building and planning data from different cities and making it easy for users to see what development is being planned in their area.,http://t.co/CV29dnS0w0,buildingeye
67,Outlier,"Barry Fischer, Head Writer at @Opower",http://t.co/Krvw242Un8,OpowerOutlier
68,Melon ,Taking commercial buildings from energy data to real savings. It starts with the benchmark. Use your melon.,http://t.co/hArU5kQiMo,MelonBenchmarks
69,RtTech,Software Company that develops RtDuet (Downtime Monitoring - Reliability KPIs) and RtEMIS (Energy Management Information System). We are in the Cloud also!!!!,http://t.co/NyziOTMWl5,RttechSoft
70,Sealed,Guaranteed savings from home efficiency improvements. helpdesk@sealed.com,http://t.co/rittzHgKLI,sealedhomes
71,We've Moved!,Please follow us instead at: @enerknol,,energysolforum
72,Blue Dot Analytics,BlueDot Analytics develops software applications that reduce the cost of wind energy by enabling predictive maintenance.,http://t.co/hvKekfIzMH,bluedotanalytic
73,Yerdle.com,"Yerdle is the people-powered store. Post what you're happy to give away, and get things you love -- for as low as $0 per item. Download our app today!",http://t.co/RR3VGVkmXO,Yerdle
74,@Treemetrics,More Wood from Fewer Trees,http://t.co/jKlifdH8T4,Treemetrics
75,Sidecar,Share your ride with a nearby rider heading your way and cut the cost in half. #sharedrides,http://t.co/fQPhbtUKhR,Sidecar
76,tado°,Intelligent climate control (http://t.co/CDtDPp4jWv) for heating systems and ACs for effortless energy saving! #SmartThermostat,http://t.co/5Ze4YhIqf1,tado
77,Mastodon C,"Big data done better. _x000D_
Better Data Science - Better Platforms - More Sustainable_x000D_
_x000D_
@fhr CEO. @otfrom CTO.",http://t.co/CfA0zy06XU,MastodonC
78,Netatmo,"Get the latest news, reviews and info about Netatmo, Weather, Air Quality, and the Netatmo Users community. Twitter feed: @netatmo",http://t.co/W3CtCyfBwr,netatmo
79,Skynet Labs,"Secure real-time Oil & Gas analysis and optimization software, revolutionizing process management of project data, calculations and communication in E&P sector.",http://t.co/2ZL60p92Ud,Skynetlabs1
80,ECONOFY,,http://t.co/7igAFMKGo4,econofy
81,Peerby.com,"Borrow the things you need from people in your neigborhood! Save money, live green and meet awesome people. http://t.co/4tqNIePBFL - Sharing prosperity",http://t.co/olZEscilnT,peerby
82,Enlighted,Designed to Change Everything,http://t.co/CuDGcAoUEV,enlightedinc
83,Arrive,We build software solutions for Urban Transit Challenges. Check out our latest app @TheTransitHero,http://t.co/bveDwQ4pnF,ArriveLabs
84,Symbotic,"Official Twitter Account of Symbotic™ 
Reinvent the warehouse | Reimagine the supply chain™",http://t.co/JaTknXWRO1,SymboticTweet
85,OuiShare,"A global network empowering citizens, public institutions and companies to build a collaborative society • Join us!",http://t.co/Z7vjeLHO8l,OuiShare
86,Bidgely,Itemize your energy bill: Bidgely tells you how much energy your appliances use and crafts personalized recommendations for ways to save.,http://t.co/Vd2exH9ZLU,bidgely
87,Tantalus,"Smart Grid Communications and Solutions for Advanced Metering, Demand Response, & Conservation for Electric, Water, and Gas Utilities",http://t.co/rXTOkqJ7sr,TantalusCorp
88,CleanCrowd,We use our #PayItAround Lending Model to fund #Green Companies through #Crowdfunding Backers looking to do #Good and get money back.,http://t.co/oeCtnyt7QI,CleanCrowd
89,CarShare Directory,alternative transportation consultant,http://t.co/WAgaNTxS88,CarShareDirect
90,FarmLogs,The best tool for managing your farm.,http://t.co/Msyd9DYwNZ,FarmLogs
91,Ethical Electric,Ethical Electric Company. We're the good guys in the energy business. Your power bill can be a force for good in the world. Use it wisely.,http://t.co/kBgujoZmNf,ChooseEthical
92,US Ignite,"Fostering creation of next-gen apps w/ transformative public benefit. Focus on health, energy, transportation, #edu, public safety, manufacturing. #gigabit #SDN",http://t.co/yYg8u1f7Zq,US_Ignite
93,Enerbyte,"Personal Energy, the energy efficiency app, personalised energy management tool for households.",http://t.co/oOcJySgOYR,Enerbyte
94,buy positively,Consumerism sucks. Let's make it better. Tweets by @msaylawala,http://t.co/T26tFnTLUJ,buypositively
95,SunFunder,We are a solar investment platform for both private and crowd investors. Our hybrid capital loans help scale solar companies in emerging markets.,http://t.co/vJ3826Scws,sunfunder
96,Banyan Water,Smart water management company dedicated to saving businesses money while conserving #water resources using the latest #technology.,http://t.co/Y5W4vAa3ln,BanyanWater
97,Tendril API,,,tendrilapi
98,carzapp,Erlebe die nächste Evolutionsstufe des privaten Carsharings!,http://t.co/IWXcqDAwEF,carzapp
99,AutoGrid,AutoGrid Systems is organizing the world's energy data bringing massively scalable cloud-computing to analyze petabytes of energy data produced by the grid.,http://t.co/rNKXRgQMpP,AutoGridSystems
100,FoodTrade ,"FoodTrade makes it easy to find, sell, buy and grow local food.",http://t.co/6lL86JEJVr,foodtradeHQ
101,Scoot Networks,As fast as a cab. As cheap as the bus. As fun as your bike. Start scooting and get where you're going.,http://t.co/NPKMtUJOtZ,ScootNetworks
102,autolib,"Compte officiel du service d'autopartage 100% électrique Autolib' actus, infos, vidéos, images partagées. Pour toute réclamation, rdv sur votre espace client.",http://t.co/FqRXvX0lYp,autolibfr
103,SolarList,We help people go solar.,http://t.co/40qh9qGsSp,SolarList
104,FirstFuel Software,FirstFuel is the trusted source of commercial energy intelligence that helps utilities and governments scale energy efficiency across large portfolios,http://t.co/hxtPK9wC7e,FirstFuelSW
105,bitponics,Simplifying and automating hydroponic gardening. Our device monitors your garden and our web dashboard gives you real-time control from anywhere in the world.,http://t.co/zNjGaYvQOh,bitponics
106,Noesis,Discussing trends in energy efficiency finance. Tweets by @LaceyMillr and other team members.,http://t.co/4lWx6qarzS,NoesisFinancing
107,KGS Buildings,"KGS Buildings, LLC is an engineering firm focused on innovative energy strategies for the building environment.",http://t.co/wKtbLuS278,KGSBuildings
108,Bractlet,Bractlet's energy analytics platform lowers the barrier to energy efficiency through better data.,http://t.co/Yv6zTaplNb,Bractlet
109,R3 Energy Management,Trusted Energy Efficiency Advisor,http://t.co/eeaYGDYrCZ,r3energy
110,Zero Percent,"A donation platform putting fresh, surplus food into the hands of our neighbors in need. Because every meal counts. #freshfood4all",http://t.co/dUsSZQjzZM,zeropercent
111,WatrHub Inc.,"WatrHub is an award-winning data & analytics company that delivers actionable intelligence for the Water Industry to enable faster, more confident decisions.",http://t.co/6BJn8hRVTK,WatrHub
112,Building Hero,"We are out to change the world, one lightbulb at a time.",http://t.co/UFQ90ZLA,BuildingHero
113,Worldsensing,Pioneering IoT & Industrial Internet with Wireless M2M. Reshaping 2 verticals: Smart Traffic in Smart Cities and Industrial Monitoring. Coverage by BBC & WSJ,http://t.co/8HypfqEBTL,Worldsensing
114,Wattics,Innovating energy management. Our innovative software helps businesses discover how to reduce energy wastage. Never waste money on energy again! +35315327875,http://t.co/Vu61Mtcg54,Wattics
115,Spinlister,"Rent Bikes, Snow, and Surf equipment from real people all over the world. Make Money - Meet People - Help The Environment",http://t.co/iG7jUc0U3r,spinlister
116,Gridium,Cloud-based energy analytics.,http://t.co/PT7XWluvDu,Gridium
117,BuiltSpace,"BuiltSpace is changing how people work together around buildings, to streamline O&M processes, reduce operating costs and save energy.",http://t.co/qxe0VeVvkT,BuiltSpace
118,Bucky Box,"We believe in a better food system, so we're creating the digital tools for local food distribution. _x000D_
Kickstarters of The Local Food Startup Challenge. #socent",http://t.co/7H9iWuPXnB,buckybox
119,AetherStore,"AetherStore pools unused computer storage space, enabling you to create a robust, secure network drive with no new hardware. Developed by @AetherWorksLLC.",http://t.co/Z8NkuDgaOS,AetherStore
120,ziilch ,Keep good stuff out of landfill by using Ziilch to give away items you no longer need or to find FREE stuff people are giving away! #freestuff #reuse #upcycle,http://t.co/YbA4i9e0Dk,ziilch
121,RidePal,"Convenient, flexible, productive, and eco-friendly commuting in first-class shuttles with WiFi. Drive less, live more.",http://t.co/6GDjbsSgqW,RidePal
122,Landshare Canada,Free web platform that connects growers to people with land to share. Sign up and get growin'! You can also sign up as a helper or a supporter.,http://t.co/pfA5NTrYwf,LandshareCa
123,Warp It Reuse,"The easy way for staff to give, get or loan furniture, equipment & other assets within or between orgs. Finalist Circular Economy Awards http://t.co/OpZVk0TIM0",http://t.co/OR58DBxH89,WarpIt_
124,FleetCarma,FleetCarma makes electric vehicle adoption simple and effective through reliable Total Cost of Ownership calculations and EV monitoring.,http://t.co/G1iacoinSb,FleetCarma
125,SMILE Exchange,A free service for business that encourages the sharing and exchanging of resources in order to reduce costs and help the environment.,http://t.co/Y2jsRxGCmS,smileexchange
126,U.S. Green Data Inc.,"We are the largest database for green incentives and tax rebates in the nation, providing easy-to-use, customizable data down to the zip code.",http://t.co/fGRmO5Losw,USGreenData
127,Energy Points,"Energy Points provides energy & resource analytics. Organizations use its analysis of energy, water, fuels, and materials as a proxy for resource efficiency.",http://t.co/58WeivruNM,EnergyPoints
128,Enado,"Enado is an affordable,flexible and advanced operating system/brain for the modern home and business-true intelligence and control integrating all devices IOT",http://t.co/lOwZWKBgbJ,enadocom
129,Honest Buildings,The connection engine for real estate projects. #cre #marketplace,http://t.co/0Z2SzKHMWS,honestbuildings
130,Calico Energy,"Calico helps utilities streamline operations. Our unified operations center connects data, devices, [software] engines & applications.",http://t.co/ewljn5xBTV,CalicoEnergy
131,Enbala Power Network,Offering utilities & energy services firms the GOFlex software platform for control and optimization of distributed energy resources (DERs).,http://t.co/Z6kMra7JfL,Enbala
132,JustShareIt,Making Carsharing As Mobile As You Are with JustShareIt!,http://t.co/aVHdMiuD9Q,JustShareItnow
133,BeNext,"BeNext presents a complete Smart Homes solution for all customers. The first affordable Intelligent Home._x000D_
 Save Energy = Save Money",http://t.co/XprHxIM0By,benextihome
134,Nautical Monkey,"Sharing made simple - all the tools you need to share you boat including scheduling software, checklists, expense tracking, service requests and more.",http://t.co/l7tBIiK22T,goNautical
135,Divya Energy,Compare Solar Installation Estimates from Hundreds of Certified Installers. Changing the way people shop for #solar.,http://t.co/h3KELi10rd,DivyaEnergy
136,unstash,Cultivating Collaborative Consumption & the Sharing Economy #sustainability #community #hope #humanity #collcons,http://t.co/becZUd99id,unstash
137,Verdiem,"Verdiem helped define the PC power management market. Follow us for IT, energy management, and efficiency software news!",http://t.co/YdgAWBdGmK,verdiem
138,Arrayent,"Empowers consumer brands to deliver superior, affordable and
smart-connected products that make life safer, easier – better. Trusted by
leading companies.",http://t.co/MXQbvdAfar,Arrayent
139,causeway,Causeway is a resource hub that helps Chattanoogans develop meaningful solutions to some of our city’s most pressing civic challenges.,http://t.co/l6FmsiOR8i,causeway
141,yRides,Find or Post Rides! It's carpooling only...COOLER! - yRides is a Marketplace for car travel.,http://t.co/DRruydo38n,yRides
142,SunMath,We build web-based tools for the solar community! ToolboxPlus helps solar installers create solar financial evaluations for their customers in seconds!,http://t.co/I6Vq68fVRi,SunMath
143,Simple Energy,Simple Energy is changing how millions of people save energy by revolutionizing how utilities engage their customers.,http://t.co/XwwUR7ZraE,SimpleEnergy
144,Mosaic,Mosaic is America’s peer-to-peer solar company. Our online marketplace connects solar investors and borrowers so that everyone can profit from clean energy.,http://t.co/JShw3ZEyI2,solarmosaic
145,Genability,Software startup helping New Energy Companies build energy cost savings into their products and services.,http://t.co/v8I7f8lxgS,genability
146,SiteSage,"SiteSage by Powerhouse Dynamics: enterprise energy & asset management for portfolios of small facilities. Remote ongoing control, analysis, diagnostics, alerts.",http://www.powerhousedynamics.com,SiteSageSystem
147,EnergyGridIQ,EnergyGridIQ (EIQ) is a powerful and comprehensive location-based database of thousands of energy incentives and alerts offered by public and private sources.,http://t.co/VL7qRwwPuk,EnergyGridIQ
148,Embue,"Rest easy. We've got your HVAC covered. Tweets by Jason Hanna, CEO/Founder.",http://t.co/zEJ2kqBd74,embue
149,Nest,We're Nest. We reinvent things.,http://t.co/HfrbvEVfZ1,nest
150,carpooling.com,"http://t.co/quUFVRxNFN is the largest #ridesharing network! We connect people so they can share their rides, reduce CO2 & save money.",http://t.co/4DPBymk1gw,carpoolingcom
151,Urjanet,"Urjanet is the first provider of Big Energy Data, enabling organizations to make smarter, more profitable and eco-friendly energy decisions.",http://t.co/jhWVemqcSn,urjanet
152,CarbonCulture,"CarbonCulture helps make sustainability and energy saving easy, fun and collaborative!",http://t.co/4G0MAzc5wO,CarbonCulture
153,Tangent Energy,Tangent saves commercial and industrial (C&I) customers 10 percent to 20 percent on energy costs by innovatively managing on-site energy supply and demand.,http://t.co/SJ7I6WWgN3,TangentEnergy
154,WegoWise,"The latest in Energy Efficiency News, Green Building Science, Environmental Policy, and Hashtag Innovation. Check http://t.co/d1Jb2ZQFIg for our latest posts.",https://t.co/yTHyMKFA9V,WegoWise
155,James Ferguson,"Building Energy Waste Quantification & Savings, HVAC Controls Demand Reduction, Smart Meter Analysis
http://t.co/Ry6V3GCpzw",http://t.co/PLsQ2XqduQ,kWIQly
156,Social Bicycles,Next generation #bikeshare technology. We make #SocialBicycles and the @SocialCyclist app.,http://t.co/gkZxuYGDVP,SocialBicycles
157,OneRoof Energy,Bringing Solar to Every Rooftop through Affordable Solar Finance Solutions. One Sun. OneRoof. One Stop Solution.,http://t.co/bevCmVNzyk,OneRoofEnergy
158,Build Energy,"BE is an independent provider of services, testing and consultancy for the built environment.",http://t.co/7zUPo6xat1,BuildEnergyLtd
159,CLEAResult,We change the way people use energy™,http://t.co/tgh8XkMBON,CLEAResult
161,GreenQloud,"GreenQloud is a cloud infrastructure software solutions company, providing tailor-made private, hybrid and public cloud deployments for enterprise organizations",http://t.co/ZYKnRBSQUM,Greenqloud
162,EcoFactor,Powering residential energy savings with predictive cloud-analytics.,http://t.co/UR55N7vo,EcoFactorCo
163,Verdeeco,Find us now @SensusGlobal,http://t.co/2TiZ3DdkIK,verdeeco
164,Acts of Sharing,2011 #SXSW Interactive Finalist / See What We Have Together. #acts432 #AOSM (Acts of Sharing Movement!),https://t.co/wOXHZ4pgiV,actsofsharing
165,EnergySage,The Expedia of Solar-research & comparison-shop for solar online - residential & commercial. Compare quotes from pre-screened installers. DOE SunShot Awardee.,http://t.co/Rceuzbd5V8,EnergySage
166,GELI,"GELI (Growing Energy Labs, Inc.) develops software to integrate, network, and economically operate energy storage systems.",http://t.co/Xmsya0kPCy,growingenergy
167,enertiv,"A Digital Energy Company, Providing Smart Energy Data Solutions for Buildings (646) 350-3525",http://t.co/3wz2fMdRT1,enertiv
168,Geostellar ,"The first of its kind, online solar energy marketplace. The one-stop shop for solar energy for your home, making going solar as easy as booking a plane ticket.",http://t.co/xLI8dIN8Lc,geostellar
169,Streetbank,"Streetbank lets you see what your neighbours will lend or give away - like a giant, shared garden shed, tool-kit, fancy dress chest, DVD library & skills bank.",http://t.co/xV49fijfYm,street_bank
170,Azavea,"Beyond dots on a map. We create software to bring together the best aspects of geography, the web, and mobile technology for stronger communities. Proud BCorp.",http://t.co/67Rxc4wjsL,azavea
171,Local Tools,Putting tools and goods back to work in communities & businesses. The first online lending library management service - from @myturn. #sharing,http://t.co/0AVTgPMDOC,localtools
172,ChevinFleetSolutions,Fleet and asset management software house,http://t.co/cdwY9wkcaB,ChevinTweet
173,FoodHub,"FoodHub is a website that helps chefs find farmers, ranchers, fishermen, dairies and other producers locally! Food businesses join FREE.",http://t.co/xaf5RFRoir,food_hub
174,thredUP,"Like-new clothes from brands you love. Cash in your closet, and shop your favorite women's and kids' name brand designers for up to 90% off.",http://t.co/yqD5Koc6q8,thredUP
175,ArchiWIZARD,1er logiciel de simulation énergétique 3D temps réel #RT2012 #BIM,http://t.co/v7XYz7mumx,ArchiWIZARD
176,Digital Lumens,Digital Lumens believes all lights should be intelligent -- driving radical energy efficiency and creating a platform for distributed building intelligence.,http://t.co/QTGGyvuUu2,DigitalLumens
177,Bandwagon,"On Bandwagon, people find other people going their way. It's social transit. Join us in cities, at events, hubs, and beyond. Say hi@bandwagon.io",http://t.co/S5jcGionmE,HiBandwagon
178,"GreenWizard, Inc","GreenWizard, Inc. is the Building Product Management Solution. Better manage your products along with your healthy and sustainable attributes and data.",http://t.co/sa4gXoRXm6,GreenWizardInc
179,Efficiency 2.0,We make efficiency easy.,http://t.co/T2G1YeYP4r,Efficiency20
180,BBMG,We're on a mission to create brands of enduring value.,http://t.co/LcASWKsWdV,ItsBBMG
181,Space-Time Insight,Geospatial and visual analytics software. Situational intelligence for a smarter world.,http://t.co/7j0j0cGZz4,SpaceTimeInsght
182,Sourcemap,"Supply chain risk, resilience and sustainability tweets by Founder CEO Leonardo Bonanni",http://t.co/oAGIJkp2HQ,sourcemap
183,Water Canary,Real-time water quality information for a healthier world.,http://t.co/PDsFnZxlaP,watercanary
184,diyFractional,diyFractional is an online service that helps people set up and manage shared ownership of any type of asset.,http://t.co/j9e8zWAywV,diyFractional
185,EnergySavvy,EnergySavvy helps utilities achieve their energy efficiency program and portfolio goals through innovative software solutions.,http://t.co/pRLHwIdSmX,energysavvy
186,Opower,"Opower is the global leader of cloud-based software for the utility industry, working with 95+ utility partners in 9 countries.",http://t.co/8lQQbvv61Z,Opower
187,RelayRides,Rent cars from real people for as low as $25/day. Own a car? Rent it out and earn thousands per year.,http://t.co/nwBjqnRORv,RelayRides
188,The Open PV Project,The Open PV Project is a collaborative effort to develop a comprehensive database of solar photovoltaic installations in the United States.,http://t.co/VB4qE1VRHx,openpv
189,Thread Swap,The online clothes swapping revolution is finally here,http://t.co/qAtHXcisv5,threadswap
190,Sungevity,"Sungevity is proving that going solar is easy, a good investment, and a viable way to reduce carbon emissions.",http://t.co/nOVowTxfMg,sungevity
191,Getaround,"Rent great cars from people nearby starting at $5/hour. Earn up to $10,000/year. Join for free!",http://t.co/JcYJ4xuVzy,Getaround
192,Viridity Energy,"Viridity Energy, a smart grid company that transforms large energy consumers into virtual energy generators",http://t.co/8LljHa0yRc,viridityenergy
193,Shareable ,"Shareable is a nonprofit news, action and connection hub for the sharing transformation. Subscribe to our weekly e-news here: http://t.co/bMMdrvtEfM",http://t.co/xJeYU82QJO,Shareable
194,EIA,"The U.S. Energy Information Administration (EIA) provides energy statistics and analyses for sound policy making, efficient markets, and public education.",http://t.co/VPNpQ1ASOa,EIAgov
195,OpenEI.org,"OpenEI is a free and open knowledge sharing platform created to facilitate access to energy-related data, apps and information.",http://t.co/KYQKhKv2em,OpenEnergyInfo
196,Sefaira,Sefaira empowers designers to realize their vision of high-performance buildings,http://t.co/nhdBT6MsPH,sefaira
197,Ubisense,We provide location intelligence solutions that bring clarity and control to complex operations. #smartfactory #myWorld,http://t.co/q8oE41j86T,ubisense
198,1E,"Global leader in IT Cost Optimization software and solutions, reducing servers, network bandwidth constraints, software licenses, and energy consumption.",http://t.co/vTouOOXNJF,1E_Global
199,LEEDuser.com,LEEDuser brings you the knowledge and experience of professionals who spend their days guiding project teams through the LEED rating systems.,http://t.co/TlB1hF2kxI,LEEDuser
200,Clevest,"Clevest is a software company focused on mobile workforce automation and smart grid operation solutions exclusively for electric, gas and water utilities.",http://t.co/BWXNKSblKk,Clevest
201,Capitaine Train,Le site de réservation de billets de train rapide et intuitif.,https://t.co/Cl3AvJ3RBo,capitainetrain
202,Zipcar Boston,A community of folks who’ve found out that car sharing beats the heck outta car ownership. Rules: http://t.co/wDiUj6Er4Z,http://t.co/m47JTwuFgF,ZipcarBoston
203,Agentis Energy,"Agentis takes energy data and turns it into an actionable information for business customers, while giving utilities new technologies to drive energy efficiency",http://t.co/WgEXcDXyVH,agentisenergy
204,Kiwi Solar,"Kiwi. Simple, valuable solar ownership. #KiwiJuiceBox",http://t.co/9Nla9hWwO9,ownkiwi
205,car2go,car2go makes transportation flexible in 26 cities worldwide. Anytime. Anywhere. Get in and drive off #car2go #carsharing Impressum: http://t.co/rEUxopigHC,http://t.co/AMGuvhjmpe,car2go
